"";"   susID";"                 ueID";"ueName";"    date";"  Interesse";" Wahlfreiheit";"    Druck";"  Kompetenz";"    Zusatz"
"";"Length:49         ";"Exkursion          :49  ";"exk:49  ";"Length:49         ";"Min.   :1.333  ";"Min.   :1.000  ";"Min.   :1.000  ";"Min.   :2.333  ";"Min.   :1.500  "
"";"Class :character  ";"Satellitenzeitreihe: 0  ";"szr: 0  ";"Class :character  ";"1st Qu.:3.000  ";"1st Qu.:2.667  ";"1st Qu.:1.333  ";"1st Qu.:3.333  ";"1st Qu.:2.750  "
"";"Mode  :character  ";"GIS                : 0  ";"gis: 0  ";"Mode  :character  ";"Median :3.667  ";"Median :4.000  ";"Median :1.667  ";"Median :4.000  ";"Median :3.250  "
"";NA;NA;NA;NA;"Mean   :3.605  ";"Mean   :3.585  ";"Mean   :1.782  ";"Mean   :3.878  ";"Mean   :3.245  "
"";NA;NA;NA;NA;"3rd Qu.:4.333  ";"3rd Qu.:4.333  ";"3rd Qu.:2.333  ";"3rd Qu.:4.333  ";"3rd Qu.:3.750  "
"";NA;NA;NA;NA;"Max.   :5.000  ";"Max.   :5.000  ";"Max.   :4.333  ";"Max.   :5.000  ";"Max.   :4.750  "
